Date,Rank,Team,Power Rating,Offense Rank,Defense Rank,Off_rating,Def_rating
2023-08-24,1,Hope College,7.789,1,1,9.54010200149913,1.751031056921735
2023-08-24,2,University of Arkansas,6.908,2,5,8.867028963476308,1.9592115736451363
2023-08-24,3,University of Notre Dame,6.607,3,4,8.545277560393004,1.9378821781686395
2023-08-24,4,University of Michigan,6.408,6,3,8.29796281063795,1.8899821294854449
2023-08-24,5,Saginaw Valley State University,6.217,4,6,8.45724043965926,2.2397836784197165
2023-08-24,6,Grand Valley State University,6.097,5,7,8.383286840507681,2.2863869288905843
2023-08-24,7,University of Missouri,5.056,7,9,7.429211388762376,2.3727943642849825
2023-08-24,8,Purdue University,4.944,8,12,7.3727574060346015,2.4287170053057414
2023-08-24,9,Missouri State University,4.571,10,15,7.085582334228968,2.514372797187119
2023-08-24,10,Lawrence Tech,4.455,14,2,6.250495912033464,1.795563994601584
2023-08-24,11,Creighton University,4.289,12,8,6.578485539501514,2.289940839361158
2023-08-24,12,United States Air Force Academy,4.286,11,10,6.694440419711494,2.408152898222946
2023-08-24,13,Miami University,4.174,9,22,7.140390061172324,2.966421808733648
2023-08-24,14,Oakland University,4.158,13,11,6.576342429316719,2.418749778971629
2023-08-24,15,Arizona State University,3.488,17,16,6.172602690966988,2.684539513765009
2023-08-24,16,Ferris State University,3.457,15,18,6.229651894326384,2.772606447115387
2023-08-24,17,Calvin University,3.375,16,21,6.199438341202477,2.824029703996348
2023-08-24,18,University of Nebraska,3.285,18,20,6.10573109614905,2.820389226613129
2023-08-24,19,Central Michigan University,3.24,19,19,6.028617382554989,2.789107417258858
2023-08-24,20,Michigan State University,2.997,20,17,5.753862963695586,2.7572962457673613
2023-08-24,21,Dordt University,2.926,24,13,5.430219607213832,2.5042758088945516
2023-08-24,22,University of New Mexico,2.818,26,14,5.328442161048666,2.510569924119889
2023-08-24,23,Washington University of Saint Louis,2.441,21,26,5.712653963011479,3.271895456468582
2023-08-24,24,Davenport University,2.205,23,25,5.436829057650757,3.231977207679136
2023-08-24,25,Rowan University,2.065,29,24,5.179833805309493,3.114832834920675
2023-08-24,26,Colorado School of Mines,1.978,31,23,5.018482150947855,3.0409598925791226
2023-08-24,27,Trine University,1.912,25,31,5.417829584035636,3.505981918113711
2023-08-24,28,Maryville University,1.879,28,28,5.200079758516112,3.3214256620448057
2023-08-24,29,Kent State University,1.45,32,30,4.8733543482595145,3.423249023577757
2023-08-24,30,Illinois State University,1.19,36,27,4.4875943004603895,3.2980364779832785
2023-08-24,31,PennWest California,1.088,27,39,5.280774948771715,4.193037706736199
2023-08-24,32,University of Pittsburgh Johnstown,1.033,30,37,5.075429649700515,4.042780744861225
2023-08-24,33,Dallas Baptist University,0.978,37,29,4.391159140321829,3.413386035996871
2023-08-24,34,Northern Illinois University,0.701,38,32,4.381410256410256,3.680555555555556
2023-08-24,34,University of Cincinnati,0.701,38,32,4.381410256410256,3.680555555555556
2023-08-24,34,Northwood University,0.701,38,32,4.381410256410256,3.680555555555556
2023-08-24,37,Butler University,0.684,22,52,5.449988485998376,4.765958921794559
2023-08-24,38,Indiana University of Pennsylvania,0.524,33,41,4.7290444371647355,4.205512126471353
2023-08-24,39,Adrian College,0.51,34,38,4.561199502896499,4.0510326696157515
2023-08-24,40,University of Michigan Flint,0.468,42,36,4.2696834873669625,3.801465123713601
2023-08-24,41,Colorado Mesa University,0.31,47,35,4.014825807345885,3.704673460406424
2023-08-24,42,University of Akron,0.161,41,42,4.3797873118756865,4.218928577716211
2023-08-24,43,Robert Morris University,-0.002,35,47,4.523806873077351,4.5260170647362505
2023-08-24,44,Northern Arizona University,-0.191,48,40,4.013011097355628,4.204330525880743
2023-08-24,45,Saint Vincent College,-0.289,46,44,4.017127394737742,4.306150076991186
2023-08-24,46,Northwestern University,-0.531,45,48,4.064330811425343,4.595368386737771
2023-08-24,47,Marian University,-0.622,44,50,4.067914260693057,4.689723823483435
2023-08-24,48,University of Wisconsin Platteville,-0.627,49,49,3.9744046044014367,4.60152901244412
2023-08-24,49,Duquesne University,-0.874,52,46,3.586374034146862,4.459986112578122
2023-08-24,50,University of Nebraska at Omaha,-1.002,58,43,3.256284651047263,4.258260028572021
2023-08-24,51,Colorado College,-1.027,56,45,3.3601063282996537,4.387050706013647
2023-08-24,52,West Virginia University,-1.055,43,58,4.141324144282655,5.196432783983696
2023-08-24,53,Western Michigan University,-1.226,50,53,3.6463530048947774,4.87271211689837
2023-08-24,54,University of Kansas,-1.287,54,51,3.4164885744886604,4.703080590511451
2023-08-24,55,Drake University,-1.461,53,54,3.547783912732278,5.0089528069727844
2023-08-24,56,East Texas Baptist University,-1.489,51,56,3.62707257881585,5.115588779540433
2023-08-24,57,Olivet Nazarene University,-1.795,57,57,3.331794203522178,5.126332418506997
2023-08-24,58,Grand Canyon University,-1.95,55,59,3.3850282478664235,5.334822314777986
2023-08-24,59,Texas Tech University,-2.435,61,55,2.634043038050638,5.069179314536818
2023-08-24,60,Case Western Reserve University,-2.793,59,60,2.8099366231923892,5.603141042720866
2023-08-24,61,University of Colorado Colorado Springs,-4.735,62,61,2.340757885046891,7.075707392734916
2023-08-24,62,Lake Superior State University,-5.08,60,62,2.8054124202121256,7.885450772996722
2023-08-24,63,Western Colorado University,-6.307,64,63,1.640312532683727,7.947572107050854
2023-08-24,64,"Wheaton College, IL.",-11.174,63,64,1.965652986724479,13.139214707279493
2023-08-30,1,Hope College,7.789,1,1,9.54010200149913,1.751031056921735
2023-08-30,2,University of Arkansas,6.908,2,6,8.867028963476308,1.9592115736451363
2023-08-30,3,University of Notre Dame,6.607,3,5,8.545277560393004,1.9378821781686395
2023-08-30,4,University of Michigan,6.408,6,3,8.29796281063795,1.8899821294854449
2023-08-30,5,Saginaw Valley State University,6.217,4,8,8.45724043965926,2.2397836784197165
2023-08-30,6,Grand Valley State University,6.097,5,9,8.383286840507681,2.2863869288905843
2023-08-30,7,University of Missouri,5.056,7,11,7.429211388762376,2.3727943642849825
2023-08-30,8,Purdue University,4.944,8,14,7.3727574060346015,2.4287170053057414
2023-08-30,9,Missouri State University,4.571,10,20,7.085582334228968,2.514372797187119
2023-08-30,10,Lawrence Tech,4.455,15,2,6.250495912033464,1.795563994601584
2023-08-30,11,Creighton University,4.289,12,10,6.578485539501514,2.289940839361158
2023-08-30,12,United States Air Force Academy,4.286,11,12,6.694440419711494,2.408152898222946
2023-08-30,13,Miami University,4.174,9,29,7.140390061172324,2.966421808733648
2023-08-30,14,Oakland University,4.158,13,13,6.576342429316719,2.418749778971629
2023-08-30,15,Dartmouth College,3.939,14,17,6.425815808436964,2.486639417656592
2023-08-30,16,Indiana University,3.798,17,15,6.228169622752143,2.4303143367169073
2023-08-30,17,Central Maine Community College,3.525,22,16,5.998596220826503,2.4732651691898435
2023-08-30,18,Arizona State University,3.488,19,21,6.172602690966988,2.684539513765009
2023-08-30,19,Ferris State University,3.457,16,23,6.229651894326384,2.772606447115387
2023-08-30,20,Calvin University,3.375,18,27,6.199438341202477,2.824029703996348
2023-08-30,21,University of Nebraska,3.285,20,26,6.10573109614905,2.820389226613129
2023-08-30,22,Central Michigan University,3.24,21,24,6.028617382554989,2.789107417258858
2023-08-30,23,Michigan State University,2.997,23,22,5.753862963695586,2.7572962457673613
2023-08-30,24,Dordt University,2.926,27,18,5.430219607213832,2.5042758088945516
2023-08-30,25,Sacred Heart University,2.853,36,4,4.7840488802874,1.931236704676568
2023-08-30,26,University of New Mexico,2.818,29,19,5.328442161048666,2.510569924119889
2023-08-30,27,Washington University of Saint Louis,2.441,24,34,5.712653963011479,3.271895456468582
2023-08-30,28,Davenport University,2.205,26,33,5.436829057650757,3.231977207679136
2023-08-30,29,Rowan University,2.065,32,31,5.179833805309493,3.114832834920675
2023-08-30,30,Colorado School of Mines,1.978,34,30,5.018482150947855,3.0409598925791226
2023-08-30,31,Trine University,1.912,28,40,5.417829584035636,3.505981918113711
2023-08-30,32,SUNY Maritime College,1.889,57,7,4.036939999478759,2.148408687210027
2023-08-30,33,Maryville University,1.879,31,36,5.200079758516112,3.3214256620448057
2023-08-30,34,Kent State University,1.45,35,39,4.8733543482595145,3.423249023577757
2023-08-30,35,University of Massachusetts,1.361,51,28,4.28343536399176,2.9227708822207243
2023-08-30,36,Illinois State University,1.19,40,35,4.4875943004603895,3.2980364779832785
2023-08-30,37,PennWest California,1.088,30,57,5.280774948771715,4.193037706736199
2023-08-30,38,University of Pittsburgh Johnstown,1.033,33,54,5.075429649700515,4.042780744861225
2023-08-30,39,Dallas Baptist University,0.978,42,38,4.391159140321829,3.413386035996871
2023-08-30,40,Thomas College,0.86,41,41,4.42096005583385,3.5609731652407635
2023-08-30,41,Northern Illinois University,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,Northwood University,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,Western Connecticut State University,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,New Jersey Institute of Technology,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,University of Cincinnati,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,Yale University,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,41,Bates College,0.701,43,42,4.381410256410256,3.680555555555556
2023-08-30,48,Butler University,0.684,25,70,5.449988485998376,4.765958921794559
2023-08-30,49,Indiana University of Pennsylvania,0.524,37,59,4.7290444371647355,4.205512126471353
2023-08-30,50,Adrian College,0.51,38,55,4.561199502896499,4.0510326696157515
2023-08-30,51,University of Michigan Flint,0.468,52,50,4.2696834873669625,3.801465123713601
2023-08-30,52,Saint Joseph College of Maine,0.345,53,51,4.20270526821032,3.858010748293055
2023-08-30,53,Colorado Mesa University,0.31,60,49,4.014825807345885,3.704673460406424
2023-08-30,54,University of Akron,0.161,50,60,4.3797873118756865,4.218928577716211
2023-08-30,55,Stevens Institute of Technology,0.143,76,25,2.9491241923875777,2.8064449002376075
2023-08-30,56,Robert Morris University,-0.002,39,65,4.523806873077351,4.5260170647362505
2023-08-30,57,Northern Arizona University,-0.191,61,58,4.013011097355628,4.204330525880743
2023-08-30,58,United States Coast Guard Academy,-0.244,63,52,3.759193749761944,4.0031667048956585
2023-08-30,59,Saint Vincent College,-0.289,59,62,4.017127394737742,4.306150076991186
2023-08-30,60,Northwestern University,-0.531,56,66,4.064330811425343,4.595368386737771
2023-08-30,61,University of New England,-0.549,68,56,3.5589232380635916,4.107781927217488
2023-08-30,62,Colby College,-0.6,70,53,3.436810695575596,4.036339572418756
2023-08-30,63,Marian University,-0.622,55,68,4.067914260693057,4.689723823483435
2023-08-30,64,University of Wisconsin Platteville,-0.627,62,67,3.9744046044014367,4.60152901244412
2023-08-30,65,Merchant Marine Academy,-0.728,80,32,2.500938491800885,3.229338784776918
2023-08-30,66,Duquesne University,-0.874,67,64,3.586374034146862,4.459986112578122
2023-08-30,67,Saint Thomas Aquinas College,-0.964,82,37,2.3867287984678005,3.3504661565613536
2023-08-30,68,University of Nebraska at Omaha,-1.002,75,61,3.256284651047263,4.258260028572021
2023-08-30,69,Colorado College,-1.027,73,63,3.3601063282996537,4.387050706013647
2023-08-30,70,West Virginia University,-1.055,54,76,4.141324144282655,5.196432783983696
2023-08-30,71,Western Michigan University,-1.226,65,71,3.6463530048947774,4.87271211689837
2023-08-30,72,University of Kansas,-1.287,71,69,3.4164885744886604,4.703080590511451
2023-08-30,73,Drake University,-1.461,69,72,3.547783912732278,5.0089528069727844
2023-08-30,74,East Texas Baptist University,-1.489,66,74,3.62707257881585,5.115588779540433
2023-08-30,75,Massachusetts Institute of Technology,-1.762,64,78,3.660302852030996,5.422652918073222
2023-08-30,76,Olivet Nazarene University,-1.795,74,75,3.331794203522178,5.126332418506997
2023-08-30,77,Grand Canyon University,-1.95,72,77,3.3850282478664235,5.334822314777986
2023-08-30,78,Tufts University,-1.97,58,81,4.029953737219466,6.00013411293419
2023-08-30,79,Texas Tech University,-2.435,79,73,2.634043038050638,5.069179314536818
2023-08-30,80,Case Western Reserve University,-2.793,77,79,2.8099366231923892,5.603141042720866
2023-08-30,81,Curry College,-3.51,81,80,2.483190154351039,5.99336501180236
2023-08-30,82,University of Colorado Colorado Springs,-4.735,83,82,2.340757885046891,7.075707392734916
2023-08-30,83,Lake Superior State University,-5.08,78,83,2.8054124202121256,7.885450772996722
2023-08-30,84,Western Colorado University,-6.307,85,84,1.640312532683727,7.947572107050854
2023-08-30,85,"Wheaton College, IL.",-11.174,84,85,1.965652986724479,13.139214707279493
2023-09-06,1,Hope College,7.789,1,1,9.54010200149913,1.751031056921735
2023-09-06,2,University of Arkansas,6.908,2,6,8.867028963476308,1.9592115736451363
2023-09-06,3,University of Notre Dame,6.607,3,5,8.545277560393004,1.9378821781686395
2023-09-06,4,University of Michigan,6.408,6,3,8.29796281063795,1.8899821294854449
2023-09-06,5,Saginaw Valley State University,6.217,4,8,8.45724043965926,2.2397836784197165
2023-09-06,6,Grand Valley State University,6.097,5,9,8.383286840507681,2.2863869288905843
2023-09-06,7,Florida Gulf Coast University,5.165,7,18,7.66748595728108,2.5020802713771473
2023-09-06,8,University of Missouri,5.056,8,11,7.429211388762376,2.3727943642849825
2023-09-06,9,Purdue University,4.944,9,14,7.3727574060346015,2.4287170053057414
2023-09-06,10,Missouri State University,4.571,11,21,7.085582334228968,2.514372797187119
2023-09-06,11,Lawrence Tech,4.455,16,2,6.250495912033464,1.795563994601584
2023-09-06,12,Creighton University,4.289,13,10,6.578485539501514,2.289940839361158
2023-09-06,13,United States Air Force Academy,4.286,12,12,6.694440419711494,2.408152898222946
2023-09-06,14,Miami University,4.174,10,31,7.140390061172324,2.966421808733648
2023-09-06,15,Oakland University,4.158,14,13,6.576342429316719,2.418749778971629
2023-09-06,16,Dartmouth College,3.939,15,17,6.425815808436964,2.486639417656592
2023-09-06,17,Indiana University,3.798,18,15,6.228169622752143,2.4303143367169073
2023-09-06,18,Central Maine Community College,3.525,23,16,5.998596220826503,2.4732651691898435
2023-09-06,19,Arizona State University,3.488,20,22,6.172602690966988,2.684539513765009
2023-09-06,20,Ferris State University,3.457,17,24,6.229651894326384,2.772606447115387
2023-09-06,21,Calvin University,3.375,19,28,6.199438341202477,2.824029703996348
2023-09-06,22,University of Nebraska,3.285,21,27,6.10573109614905,2.820389226613129
2023-09-06,23,Central Michigan University,3.24,22,25,6.028617382554989,2.789107417258858
2023-09-06,24,Michigan State University,2.997,24,23,5.753862963695586,2.7572962457673613
2023-09-06,25,Dordt University,2.926,28,19,5.430219607213832,2.5042758088945516
2023-09-06,26,Sacred Heart University,2.853,38,4,4.7840488802874,1.931236704676568
2023-09-06,27,University of New Mexico,2.818,30,20,5.328442161048666,2.510569924119889
2023-09-06,28,Washington University of Saint Louis,2.441,25,36,5.712653963011479,3.271895456468582
2023-09-06,29,Davenport University,2.205,27,35,5.436829057650757,3.231977207679136
2023-09-06,30,Harvard University,2.191,34,30,5.151276852636129,2.9603985114039832
2023-09-06,31,Rowan University,2.065,33,33,5.179833805309493,3.114832834920675
2023-09-06,32,Colorado School of Mines,1.978,36,32,5.018482150947855,3.0409598925791226
2023-09-06,33,Trine University,1.912,29,42,5.417829584035636,3.505981918113711
2023-09-06,34,SUNY Maritime College,1.889,66,7,4.036939999478759,2.148408687210027
2023-09-06,35,Maryville University,1.879,32,38,5.200079758516112,3.3214256620448057
2023-09-06,36,Kent State University,1.45,37,41,4.8733543482595145,3.423249023577757
2023-09-06,37,University of Massachusetts,1.361,58,29,4.28343536399176,2.9227708822207243
2023-09-06,38,Illinois State University,1.19,42,37,4.4875943004603895,3.2980364779832785
2023-09-06,39,PennWest California,1.088,31,67,5.280774948771715,4.193037706736199
2023-09-06,40,University of Pittsburgh Johnstown,1.033,35,64,5.075429649700515,4.042780744861225
2023-09-06,41,Dallas Baptist University,0.978,44,40,4.391159140321829,3.413386035996871
2023-09-06,42,Thomas College,0.86,43,44,4.42096005583385,3.5609731652407635
2023-09-06,43,Northern Illinois University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,Northwood University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,Catholic University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,Western Connecticut State University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,New Jersey Institute of Technology,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,University of Cincinnati,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,Yale University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,West Chester University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,Bates College,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,United States Naval Academy,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,43,George Mason University,0.701,45,46,4.381410256410256,3.680555555555556
2023-09-06,54,Butler University,0.684,26,80,5.449988485998376,4.765958921794559
2023-09-06,55,Wentworth Institute of Technology,0.627,62,43,4.153566883517364,3.526885269337427
